iter	RMSE
0	27.73235097
1	27.20502066
2	26.77717061
3	26.39064176
4	26.06444502
5	25.78265019
6	25.52821563
7	25.30224267
8	25.10621772
9	24.93853854
10	24.7830989
11	24.64284897
12	24.51092273
13	24.40427432
14	24.29761854
15	24.20530309
16	24.11717001
17	24.03168687
18	23.96393162
19	23.89691638
20	23.83501323
21	23.76600749
22	23.70782384
23	23.65806978
24	23.61120298
25	23.56312568
26	23.52093502
27	23.47390639
28	23.43245438
29	23.39761966
30	23.35919928
31	23.31960301
32	23.28789608
33	23.25544148
34	23.21529488
35	23.18400594
36	23.15675784
37	23.13234783
38	23.1008737
39	23.07433326
40	23.04944707
41	23.02667496
42	23.00743944
43	22.98066246
44	22.9603702
45	22.93231169
46	22.91464255
47	22.89632727
48	22.87674191
49	22.85917008
50	22.83331549
51	22.81270838
52	22.7969686
53	22.77756274
54	22.76106803
55	22.74337072
56	22.72348151
57	22.71071251
58	22.69390774
59	22.67586204
60	22.66000385
61	22.64744527
62	22.63658118
63	22.62358462
64	22.60466126
65	22.58462535
66	22.57260608
67	22.56100928
68	22.549962
69	22.53908823
70	22.51738055
71	22.50715023
72	22.49420601
73	22.48427561
74	22.47647439
75	22.46420439
76	22.44419729
77	22.43399521
78	22.42137392
79	22.40856819
80	22.39536281
81	22.38269783
82	22.3686643
83	22.36001084
84	22.34398384
85	22.33393667
86	22.32223488
87	22.3119319
88	22.30284477
89	22.29331721
90	22.28689645
91	22.27575943
92	22.26444853
93	22.25840225
94	22.2429877
95	22.23678545
96	22.22829868
97	22.21777106
98	22.20043841
99	22.18826709
100	22.17864054
101	22.16899636
102	22.15995187
103	22.15206179
104	22.14543379
105	22.13764022
106	22.12987863
107	22.1184991
108	22.11050737
109	22.09703625
110	22.08517766
111	22.07808041
112	22.0659068
113	22.05389164
114	22.04538157
115	22.03559894
116	22.02860648
117	22.01571149
118	22.00635512
119	21.99825411
120	21.99081446
121	21.98339664
122	21.97493357
123	21.96759339
124	21.95946547
125	21.95478916
126	21.94310346
127	21.93251996
128	21.92204732
129	21.91251046
130	21.90075603
131	21.89396526
132	21.88174305
133	21.87490067
134	21.86353145
135	21.85375104
136	21.84433117
137	21.83419967
138	21.82658883
139	21.81775559
140	21.81066306
141	21.80041697
142	21.79390291
143	21.7841987
144	21.77131226
145	21.76129058
146	21.75288407
147	21.74561143
148	21.73547289
149	21.72577963
150	21.71946919
151	21.71112493
152	21.70255659
153	21.69547858
154	21.6859622
155	21.67933
156	21.67449918
157	21.66689728
158	21.66082612
159	21.65205691
160	21.64235072
161	21.63337396
162	21.62532899
163	21.61856158
164	21.61412264
165	21.60710172
166	21.60122349
167	21.5949464
168	21.58942458
169	21.58170498
170	21.57682707
