iter	Passed	Remaining
0	3	3848
1	6	3089
2	8	2858
3	11	2834
4	13	2771
5	16	2742
6	19	2695
7	21	2652
8	23	2609
9	26	2582
10	28	2561
11	31	2578
12	33	2565
13	36	2556
14	39	2568
15	41	2570
16	44	2592
17	47	2615
18	50	2604
19	52	2591
20	55	2572
21	57	2567
22	60	2558
23	62	2542
24	64	2529
25	67	2515
26	69	2514
27	72	2507
28	74	2502
29	77	2503
30	79	2497
31	82	2490
32	84	2489
33	88	2514
34	91	2512
35	94	2517
36	96	2508
37	98	2502
38	101	2504
39	104	2500
40	106	2495
41	109	2496
42	112	2497
43	114	2491
44	117	2487
45	119	2479
46	121	2473
47	124	2469
48	127	2472
49	129	2463
50	132	2460
51	134	2454
52	137	2451
53	139	2443
54	141	2439
55	144	2432
56	147	2432
57	149	2426
58	151	2420
59	154	2419
60	156	2413
61	159	2407
62	161	2402
63	164	2399
64	166	2397
65	169	2394
66	171	2390
67	174	2385
68	176	2381
69	178	2375
70	181	2370
71	183	2370
72	186	2369
73	189	2365
74	191	2359
75	193	2357
76	196	2356
77	199	2353
78	201	2352
79	204	2348
80	206	2347
81	209	2343
82	211	2342
83	214	2338
84	216	2334
85	219	2334
86	221	2329
87	224	2329
88	227	2326
89	229	2321
90	231	2316
91	234	2313
92	236	2309
93	239	2306
94	241	2303
95	244	2306
96	247	2302
97	249	2299
98	252	2296
99	254	2294
100	257	2292
101	260	2290
102	262	2287
103	265	2284
104	267	2280
105	269	2276
106	272	2272
107	275	2274
108	277	2270
109	280	2267
110	282	2266
111	285	2262
112	287	2259
113	290	2255
114	292	2253
115	295	2253
116	298	2249
117	300	2246
118	303	2244
119	305	2241
120	308	2242
121	311	2238
122	313	2235
123	315	2230
124	318	2228
125	320	2225
126	323	2221
127	325	2218
128	328	2215
129	330	2213
130	333	2209
131	335	2207
132	338	2207
133	341	2205
134	343	2201
135	346	2199
136	348	2197
137	351	2194
138	353	2192
139	356	2191
140	359	2188
141	361	2185
142	364	2181
143	366	2181
144	369	2179
145	372	2177
146	374	2174
147	377	2170
148	379	2168
149	382	2165
150	384	2162
151	386	2158
152	389	2156
153	392	2154
154	394	2151
155	397	2148
156	399	2146
157	402	2143
158	404	2139
159	406	2136
160	409	2133
161	412	2131
162	414	2128
163	417	2126
164	419	2122
165	421	2118
166	424	2116
167	426	2114
168	429	2111
169	431	2108
170	434	2105
171	436	2103
172	439	2100
173	441	2097
174	444	2094
175	446	2092
176	449	2088
177	452	2087
178	454	2084
179	457	2084
180	459	2081
181	462	2078
182	464	2074
183	467	2071
184	469	2068
185	471	2065
186	474	2062
187	476	2059
188	479	2056
189	482	2055
190	484	2052
191	487	2050
192	489	2048
193	492	2046
194	494	2042
195	497	2040
196	499	2037
197	502	2035
198	504	2032
199	507	2029
200	509	2026
201	512	2023
202	514	2021
203	517	2020
204	520	2017
205	522	2014
